Species,Block,Latitude,Longitude,WnvPresent,Month,Day,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Tavg_lag7,DewPoint_lag7,WetBulb_lag7,PrecipTotal_lag7,SeaLevel_lag7,Tavg_lag14,DewPoint_lag14,WetBulb_lag14,PrecipTotal_lag14,SeaLevel_lag14,Tavg_lag21,DewPoint_lag21,WetBulb_lag21,PrecipTotal_lag21,SeaLevel_lag21,Tavg_lag28,DewPoint_lag28,WetBulb_lag28,PrecipTotal_lag28,SeaLevel_lag28,Tavg_lag35,DewPoint_lag35,WetBulb_lag35,PrecipTotal_lag35,SeaLevel_lag35
RESTUANS,79,41.974089,-87.824812,0,5,29,88.0,62.5,75.5,58.5,65.5,0.0,30.1,5.8,17.0,6.95,72.5,45.0,58.0,0.0,30.055,69.0,56.0,61.0,0.49,29.835,69.0,57.5,62.5,0.0,30.025,67.5,51.0,56.5,0.0,29.82,,,,,
RESTUANS,22,41.921965,-87.632085,0,5,29,88.0,62.5,75.5,58.5,65.5,0.0,30.1,5.8,17.0,6.95,72.5,45.0,58.0,0.0,30.055,69.0,56.0,61.0,0.49,29.835,69.0,57.5,62.5,0.0,30.025,67.5,51.0,56.5,0.0,29.82,,,,,
RESTUANS,17,41.720848,-87.666014,0,5,29,88.0,62.5,75.5,58.5,65.5,0.0,30.1,5.8,17.0,6.95,72.5,45.0,58.0,0.0,30.055,69.0,56.0,61.0,0.49,29.835,69.0,57.5,62.5,0.0,30.025,67.5,51.0,56.5,0.0,29.82,,,,,
RESTUANS,22,41.731922,-87.677512,0,5,29,88.0,62.5,75.5,58.5,65.5,0.0,30.1,5.8,17.0,6.95,72.5,45.0,58.0,0.0,30.055,69.0,56.0,61.0,0.49,29.835,69.0,57.5,62.5,0.0,30.025,67.5,51.0,56.5,0.0,29.82,,,,,
PIPIENS/RESTUANS,41,41.95469,-87.800991,0,6,5,63.5,49.0,56.5,47.5,51.5,0.345,29.785,5.7,4.0,7.85,75.5,58.5,65.5,0.0,30.1,72.5,45.0,58.0,0.0,30.055,69.0,56.0,61.0,0.49,29.835,69.0,57.5,62.5,0.0,30.025,67.5,51.0,56.5,0.0,29.82
RESTUANS,41,41.95469,-87.800991,0,6,5,63.5,49.0,56.5,47.5,51.5,0.345,29.785,5.7,4.0,7.85,75.5,58.5,65.5,0.0,30.1,72.5,45.0,58.0,0.0,30.055,69.0,56.0,61.0,0.49,29.835,69.0,57.5,62.5,0.0,30.025,67.5,51.0,56.5,0.0,29.82
RESTUANS,22,41.921965,-87.632085,0,6,5,63.5,49.0,56.5,47.5,51.5,0.345,29.785,5.7,4.0,7.85,75.5,58.5,65.5,0.0,30.1,72.5,45.0,58.0,0.0,30.055,69.0,56.0,61.0,0.49,29.835,69.0,57.5,62.5,0.0,30.025,67.5,51.0,56.5,0.0,29.82
RESTUANS,22,41.688324,-87.676709,0,6,5,63.5,49.0,56.5,47.5,51.5,0.345,29.785,5.7,4.0,7.85,75.5,58.5,65.5,0.0,30.1,72.5,45.0,58.0,0.0,30.055,69.0,56.0,61.0,0.49,29.835,69.0,57.5,62.5,0.0,30.025,67.5,51.0,56.5,0.0,29.82
RESTUANS,65,41.999129,-87.795585,0,6,5,63.5,49.0,56.5,47.5,51.5,0.345,29.785,5.7,4.0,7.85,75.5,58.5,65.5,0.0,30.1,72.5,45.0,58.0,0.0,30.055,69.0,56.0,61.0,0.49,29.835,69.0,57.5,62.5,0.0,30.025,67.5,51.0,56.5,0.0,29.82
RESTUANS,15,41.907645,-87.760886,0,6,5,63.5,49.0,56.5,47.5,51.5,0.345,29.785,5.7,4.0,7.85,75.5,58.5,65.5,0.0,30.1,72.5,45.0,58.0,0.0,30.055,69.0,56.0,61.0,0.49,29.835,69.0,57.5,62.5,0.0,30.025,67.5,51.0,56.5,0.0,29.82
