Species,Block,Latitude,Longitude,AddressAccuracy,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Month,Day,Tavg_Lag7,DewPoint_Lag7,WetBulb_Lag7,PrecipTotal_Lag7,SeaLevel_Lag7,Tavg_Lag14,DewPoint_Lag14,WetBulb_Lag14,PrecipTotal_Lag14,SeaLevel_Lag14,Tavg_Lag21,DewPoint_Lag21,WetBulb_Lag21,PrecipTotal_Lag21,SeaLevel_Lag21,Tavg_Lag28,DewPoint_Lag28,WetBulb_Lag28,PrecipTotal_Lag28,SeaLevel_Lag28,Tavg_Lag35,DewPoint_Lag35,WetBulb_Lag35,PrecipTotal_Lag35,SeaLevel_Lag35
CULEX PIPIENS/RESTUANS,41,41.95469,-87.800991,9,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,,,,,,,,,,,,,,,,,,,,,,,,,
CULEX RESTUANS,41,41.95469,-87.800991,9,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,,,,,,,,,,,,,,,,,,,,,,,,,
CULEX RESTUANS,62,41.994991,-87.769279,9,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,,,,,,,,,,,,,,,,,,,,,,,,,
CULEX PIPIENS/RESTUANS,79,41.974089,-87.824812,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,,,,,,,,,,,,,,,,,,,,,,,,,
CULEX RESTUANS,79,41.974089,-87.824812,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,,,,,,,,,,,,,,,,,,,,,,,,,
CULEX RESTUANS,15,41.9216,-87.666455,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,,,,,,,,,,,,,,,,,,,,,,,,,
CULEX RESTUANS,25,41.891118,-87.654491,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,,,,,,,,,,,,,,,,,,,,,,,,,
CULEX PIPIENS/RESTUANS,11,41.867108,-87.654224,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,,,,,,
CULEX RESTUANS,11,41.867108,-87.654224,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,,,,,,
CULEX RESTUANS,11,41.896282,-87.655232,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,,,,,,
